Name,# Features,# Categorical Features,# Instances,# Classes,# NaNs,Minority Class Size,id
Agrawal1,10,4,1000000,2,0,327955,1235
SEA(50),4,1,1000000,2,0,385658,161
SEA(50000),4,1,1000000,2,0,385668,162
Klaverjas2018,33,1,981541,2,0,453202,41228
hls4ml_lhc_jets_hlf,17,1,830000,5,0,161066,42468
ATLAS-Higgs-Boson-Machine-Learning-Challenge-2014,31,1,818238,2,0,279560,45549
airlines,8,5,539383,2,0,240264,1169
sf-police-incidents,7,6,538638,2,0,269319,42344
Epsilon,2001,1,500000,2,0,249778,45575
codrna,9,1,488565,2,0,162855,351
dionis,61,1,416188,355,0,878,41167
20_newsgroups.drift,1002,1001,399940,2,0,19997,274
Kuzushiji-49,785,1,270912,49,0,456,41991
Elegibilidade,2,1,269177,2,0,118605,41949
spoken-arabic-digit,15,1,263256,10,0,26124,1503
skin-segmentation,4,1,245057,2,0,50859,1502
SantanderCustomerSatisfaction,202,1,200000,2,0,20098,42395
EMNIST_Balanced,785,1,131600,47,0,2800,41039
BNG(vote),17,17,131072,2,0,50663,143
MiniBooNE,51,1,130064,2,0,36499,41150
IMDB.drama,1002,1,120919,2,0,43779,273
aloi,129,1,108000,1000,0,108,42396
Dota2-Games-Results-Data-Set,117,117,102944,2,0,48660,45563
Diabetes130US,50,37,101766,3,0,11357,4541
Diabetes-130-Hospitals_(Fairlearn),22,6,101766,2,0,11357,43903
SVHN,3073,1,99289,10,0,6254,41081
vehicle_sensIT,101,1,98528,2,0,49264,357
higgs,29,1,98050,2,9,46223,23512
numerai28.6,22,1,96320,2,0,47662,23517
Devnagari-Script,1025,1,92000,46,0,2000,40923
Run_or_walk_information,7,1,88588,2,0,44223,40922
mnist_784,785,1,70000,10,0,6313,554
Fashion-MNIST,785,1,70000,10,0,7000,40996
Cardiovascular-Disease-dataset,12,7,70000,2,0,34979,45547
connect-4,43,43,67557,3,0,6449,40668
Otto-Group-Product-Classification-Challenge,94,1,61878,9,0,1929,45548
CIFAR_10,3073,1,60000,10,0,6000,40927
CIFAR-100,3073,1,60000,100,0,600,41983
volkert,181,1,58310,10,0,1361,41166
"BNG(cmc,nominal,55296)",10,10,55296,3,0,12555,119
BNG(cmc),10,8,55296,3,0,12447,255
GTSRB-HOG03,2917,1,51839,43,0,270,41989
GTSRB-HOG01,1569,1,51839,43,0,270,41986
GTSRB-HueHist,257,1,51839,43,0,270,41990
SVHN_medium,3073,1,49644,10,0,3127,42141
adult,15,13,48842,2,6465,11687,179
tamilnadu-electricity,4,2,45781,20,0,1397,40985
electricity,9,2,45312,2,0,19237,151
bank-marketing,17,10,45211,2,0,5289,1461
jungle_chess_2pcs_endgame_complete,47,27,44819,3,10584,4335,41001
jungle_chess_2pcs_raw_endgame_complete,7,1,44819,3,0,4335,41027
2dplanes,11,1,40768,2,0,20348,727
mv,11,4,40768,2,0,16447,881
fried,11,1,40768,2,0,20341,901
click_prediction_small,9,5,39926,2,0,6725,43901
BNG(tic-tac-toe),10,10,39366,2,0,13664,137
BNG(breast-w),10,1,39366,2,0,13546,251
webdata_wXa,124,1,36974,2,0,8874,350
PriceRunner,6,2,35300,10,0,2212,45714
nomao,119,30,34465,2,0,9844,1486
Amazon_employee_access,10,10,32769,2,0,1897,4135
amazon_employee_access,10,10,32769,2,0,1897,43900
adult-census,16,9,32561,2,4262,7841,1119
house_16H,17,1,22784,2,0,6744,821
house_8L,9,1,22784,2,0,6744,843
law-school-admission-bianry,12,6,20800,2,0,6694,43890
houses,9,1,20640,2,0,8914,823
California-Housing-Classification,9,1,20640,2,0,10317,45578
california,9,1,20634,2,0,10317,43979
guillermo,4297,1,20000,2,0,8003,41159
CIFAR_10_small,3073,1,20000,10,0,1937,40926
microaggregation2,21,1,20000,5,0,743,41671
letter,17,1,20000,26,0,734,6
letter-challenge-unlabeled.arff,17,1,20000,3,10000,2760,1222
MagicTelescope,12,1,19020,2,0,6688,1120
Pulsar-Dataset-HTRU2,9,1,17898,2,0,1639,45558
credit,11,1,16714,2,0,8357,44089
compass,18,10,16644,2,0,8322,44162
elevators,19,1,16599,2,0,5130,846
PCam16k,27649,1,16000,2,0,7991,42811
test_dataset,61,1,15547,2,280,7582,41526
mozilla4,6,1,15545,2,0,5108,1046
pol,49,1,15000,2,0,5041,722
eeg-eye-state,15,1,14980,2,0,6723,1471
sylva_prior,109,1,14395,2,0,886,1040
gas-drift-different-concentrations,130,1,13910,6,0,1641,1477
gas-drift,129,1,13910,6,0,1641,1476
ailerons,41,1,13750,2,0,5828,734
STL-10,27649,1,13000,10,0,1300,41103
online_shoppers,18,14,12330,2,0,1908,45060
online-shoppers-intention,18,8,12330,2,0,1908,45560
ohscal.wc,11466,1,11162,10,0,709,399
PhishingWebsites,31,31,11055,2,0,4898,4534
pendigits,17,1,10992,10,0,1055,32
eye_movements,28,4,10936,3,0,2870,1044
jm1,22,1,10885,2,25,2106,1053
har,562,1,10299,6,0,1406,1478
artificial-characters,8,1,10218,10,0,600,1459
robert,7201,1,10000,10,0,958,41165
dilbert,2001,1,10000,5,0,1913,41163
heloc,23,1,10000,2,0,5000,45023
JapaneseVowels,15,1,9961,9,0,782,375
SVHN_small,3073,1,9927,10,0,625,42140
GesturePhaseSegmentationProcessed,33,1,9873,5,0,998,4538
FICO-HELOC-cleaned,24,3,9871,2,0,4735,45553
new3s.wc,26833,1,9558,44,0,104,390
delta_elevators,7,1,9517,2,0,4732,819
USPS,257,1,9298,10,0,708,41082
UNIX_user_data,3,1,9100,9,0,484,373
visualizing_soil,5,2,8641,2,0,3888,923
fabert,801,1,8237,7,0,502,41164
puma32H,33,1,8192,2,0,4064,752
bank32nh,33,1,8192,2,0,2543,833
cpu_act,22,1,8192,2,0,2477,761
cpu_small,13,1,8192,2,0,2477,735
bank8FM,9,1,8192,2,0,3307,725
kin8nm,9,1,8192,2,0,4024,807
puma8NH,9,1,8192,2,0,4078,816
isolet,618,1,7797,26,0,298,300
ringnorm,21,1,7400,2,0,3664,1496
twonorm,21,1,7400,2,0,3697,1507
delta_ailerons,6,1,7129,2,0,3346,803
gisette,5001,1,7000,2,0,3500,41026
clean2,169,1,6598,2,0,1017,40666
musk,168,2,6598,2,0,1017,1116
wind,15,1,6574,2,0,3073,847
satimage,37,1,6430,6,0,625,182
first-order-theorem-proving,52,1,6118,6,0,486,1475
philippine,309,1,5832,2,0,2916,41145
optdigits,65,1,5620,10,0,554,28
texture,41,1,5500,11,0,500,40499
wall-robot-navigation,25,1,5456,4,0,328,1497
christine,1637,38,5418,2,0,2709,41142
phoneme,6,1,5404,2,0,1586,1489
banana,3,1,5300,2,0,2376,1460
compas-two-years,14,7,5278,2,0,2483,42192
sylvine,21,1,5124,2,0,2562,41146
waveform-5000,41,1,5000,3,0,1653,60
churn,21,5,5000,2,0,707,40701
national-longitudinal-survey-binary,17,8,4908,2,0,1853,43892
wilt,6,1,4839,2,0,261,40983
jungle_chess_2pcs_endgame_panther_lion,47,27,4704,3,0,145,40997
jungle_chess_2pcs_endgame_panther_elephant,47,27,4704,3,0,195,41000
jungle_chess_2pcs_endgame_lion_elephant,47,27,4704,3,0,1216,41004
spambase,58,1,4601,2,0,1813,44
spambase_reproduced,58,1,4601,2,0,1813,44095
ada_prior,15,9,4562,2,88,1132,1037
StackOverflow-polarity,2,1,4423,3,0,1202,43149
ada,49,1,4147,2,0,1029,41156
analcatdata_supreme,8,1,4052,2,0,971,728
PCam,27649,1,4000,2,0,1977,42810
pollen,6,1,3848,2,0,1924,871
Sick_numeric,30,1,3772,2,0,231,41946
Bioresponse,1777,1,3751,2,0,1717,4134
jungle_chess_2pcs_endgame_rat_rat,47,27,3660,2,0,1605,41005
gina_agnostic,971,1,3468,2,0,1705,1038
gina_prior2,785,1,3468,10,0,315,1041
gina_prior,785,1,3468,2,0,1705,1042
UCI_churn,21,1,3333,2,0,483,44232
Internet-Advertisements,1559,1556,3279,2,0,459,40978
la1s.wc,13196,1,3204,6,0,273,396
led24,25,25,3200,10,0,296,40677
led7,8,8,3200,10,0,270,40678
kr-vs-kp,37,37,3196,2,0,1527,3
splice,61,61,3190,3,0,767,46
dna,181,181,3186,3,0,765,40670
gina,971,1,3153,2,0,1550,41158
madeline,260,1,3140,2,0,1561,41144
space_ga,7,1,3107,2,0,1541,737
StackOverflow-polarity-train,2,1,3097,3,0,842,43147
la2s.wc,12433,1,3075,6,0,248,393
jasmine,145,137,2984,2,0,1492,41143
madelon,501,1,2600,2,0,1300,1485
seismic-bumps,19,5,2584,2,0,170,45562
ozone-level-8hr,73,1,2534,2,0,160,1487
fbis.wc,2001,1,2463,17,0,38,389
scene,300,6,2407,2,0,431,312
jungle_chess_2pcs_endgame_lion_lion,47,27,2352,2,0,949,41007
jungle_chess_2pcs_endgame_elephant_elephant,47,27,2351,2,0,1035,40999
segment,20,1,2310,7,0,330,36
Titanic,4,1,2201,2,0,711,40704
quake,4,1,2178,2,0,969,772
kc1,22,1,2109,2,0,326,1067
balloon,2,1,2001,2,0,482,914
reuters,250,7,2000,2,0,831,40594
mfeat-pixel,241,241,2000,10,0,200,20
mfeat-factors,217,1,2000,10,0,200,12
image,140,5,2000,2,0,409,40592
dilbert_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,101,1,2000,5,0,382,44513
dilbert_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,101,1,2000,5,0,383,44514
fabert_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,101,1,2000,7,0,122,44518
jasmine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,101,95,2000,2,0,1000,44523
gina_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,101,1,2000,2,0,983,44543
madeline_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,101,1,2000,2,0,994,44558
philippine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,101,1,2000,2,0,1000,44563
mfeat-factors_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,101,1,2000,10,0,200,44623
dna_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,101,101,2000,3,0,480,44638
Internet-Advertisements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,101,101,2000,2,0,280,44648
Internet-Advertisements_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,101,100,2000,2,0,280,44651
Bioresponse_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,101,1,2000,2,0,915,44653
christine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,101,5,2000,2,0,1000,44683
christine_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,101,4,2000,2,0,1000,44685
christine_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,101,2,2000,2,0,1000,44687
nomao_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,101,26,2000,2,0,571,44713
nomao_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,101,24,2000,2,0,571,44714
nomao_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,101,27,2000,2,0,571,44716
volkert_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,101,1,2000,10,0,47,44733
robert_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,101,1,2000,10,0,192,44738
robert_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,101,1,2000,10,0,191,44739
robert_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,101,1,2000,10,0,192,44741
guillermo_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,101,1,2000,2,0,800,44748
KDDCup09-Upselling_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,101,1,2000,2,0,147,44791
mfeat-fourier,77,1,2000,10,0,200,14
ozone-level-8hr_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,73,1,2000,2,0,126,44548
mfeat-karhunen,65,1,2000,10,0,200,16
dionis_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,61,1,2000,355,0,4,44533
jannis_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,55,1,2000,2,0,1000,44428
covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,55,45,2000,2,0,1000,44443
first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,52,1,2000,6,0,159,44663
MiniBooNE_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,51,1,2000,2,0,1000,44412
KDDCup09_upselling_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,50,16,2000,2,0,1000,44463
ada_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,49,1,2000,2,0,496,44568
mfeat-zernike,48,1,2000,10,0,200,22
connect-4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,43,43,2000,3,0,191,44703
kr-vs-kp_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,37,37,2000,2,0,956,44643
road-safety_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,33,4,2000,2,0,1000,44453
GesturePhaseSegmentationProcessed_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,33,1,2000,5,0,202,44668
PhishingWebsites_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,31,31,2000,2,0,886,44673
pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,27,1,2000,2,0,1000,44382
Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,25,1,2000,2,0,1000,44417
eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,24,4,2000,2,0,1000,44438
numerai28.6_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,22,1,2000,2,0,990,44493
kc1_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,22,1,2000,2,0,309,44628
kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,21,1,2000,2,0,1000,44392
churn_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,21,5,2000,2,0,283,44658
compass_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,18,10,2000,2,0,1000,44458
house_16H_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,17,1,2000,2,0,1000,44387
segment_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,17,1,2000,7,0,285,44633
adult_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,15,9,2000,2,242,479,44723
adult_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,15,9,2000,2,248,479,44724
adult_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,15,9,2000,2,279,479,44725
adult_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,15,9,2000,2,254,479,44726
adult_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,15,9,2000,2,253,479,44727
rl_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,13,8,2000,2,0,1000,44448
wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,12,1,2000,2,0,1000,44367
Click_prediction_small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,12,7,2000,2,0,337,44763
Amazon_employee_access_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,10,10,2000,2,0,116,44708
california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,9,1,2000,2,0,1000,44362
sf-police-incidents_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,9,6,2000,2,0,243,44773
electricity_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,8,1,2000,2,0,1000,44372
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,8,5,2000,2,0,891,44528
mfeat-morphological,7,1,2000,10,0,200,18
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,7,1,2000,3,0,194,44718
phoneme_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,6,1,2000,2,0,1000,44407
wilt_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,6,1,2000,2,0,108,44488
steel-plates-fault,34,1,1941,2,0,673,1504
steel-plates-fault_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,28,1,1941,7,0,55,44503
MIC,105,96,1649,2,0,257,45648
GAMETES_Epistasis_2-Way_1000atts_0.4H_EDM-1_EDM-1_1,1001,1001,1600,2,0,800,40645
one-hundred-plants-margin,65,1,1600,100,0,16,1491
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,21,21,1600,2,0,800,40646
one-hundred-plants-texture,65,1,1599,100,0,15,1493
semeion,257,1,1593,10,0,155,1501
pc3,38,1,1563,2,0,160,1050
OVA_Breast,10936,1,1545,2,0,344,1128
OVA_Lung,10936,1,1545,2,0,126,1130
OVA_Kidney,10936,1,1545,2,0,260,1134
OVA_Uterus,10936,1,1545,2,0,124,1138
OVA_Omentum,10936,1,1545,2,0,77,1139
OVA_Colon,10936,1,1545,2,0,286,1161
OVA_Ovary,10936,1,1545,2,0,198,1166
amazon-commerce-reviews,10001,1,1500,50,0,30,1457
amazon-commerce-reviews_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,101,1,1500,50,0,30,44478
cmc,10,8,1473,3,0,333,23
cmc_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,10,8,1473,3,0,333,44613
ibm-employee-performance,34,1,1470,2,0,226,43895
pc4,38,1,1458,2,0,178,1049
pc4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,38,1,1458,2,0,178,44608
banknote-authentication,5,1,1372,2,0,610,1462
analcatdata_halloffame,17,2,1340,2,20,125,966
mofn-3-7-10,11,11,1324,2,0,292,40680
hill-valley,101,1,1212,2,0,606,1479
socmob,6,5,1156,2,0,256,934
Dorothea,100001,1,1150,2,0,112,4137
parity5_plus_5,11,11,1124,2,0,557,40706
cnae-9,857,1,1080,9,0,120,1468
cnae-9_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,101,1,1080,9,0,120,44603
PieChart3,38,1,1077,2,0,134,1453
qsar-biodeg,42,1,1055,2,0,356,1494
qsar-biodeg_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,42,1,1055,2,0,356,44598
oh10.wc,3239,1,1050,10,0,52,401
PizzaCutter3,38,1,1043,2,0,127,1444
rmftsa_sleepdata,3,1,1024,4,0,94,679
oh0.wc,3183,1,1003,10,0,51,392
kits,27649,1,1000,2,0,480,42809
credit-g,21,14,1000,2,0,300,31
dummy,7,1,1000,2,0,273,45604
vowel,13,3,990,11,0,90,307
xd6,10,10,973,2,0,322,40693
tokyo1,45,3,959,2,0,346,40705
tic-tac-toe,10,10,958,2,0,332,50
Tour-and-Travels-Customer-Churn-Prediction,7,5,954,2,60,224,45545
stock,10,1,950,2,0,462,841
eating,6374,1,945,7,0,119,1233
oh5.wc,3013,1,918,10,0,59,394
oh15.wc,3101,1,913,10,0,53,386
vehicle,19,1,846,4,0,199,54
vehicle_reproduced,19,1,846,4,0,199,44153
analcatdata_authorship,71,1,841,4,0,55,458
analcatdata_dmft,5,5,797,6,0,123,469
diabetes,9,1,768,2,0,268,37
blood-transfusion-service-center,5,1,748,2,0,178,1464
blood-transfusion-service-center_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,5,1,748,2,0,178,44593
dailybike,13,1,731,606,0,1,45102
doa_bwin_balanced,14,3,708,2,0,354,45712
PieChart1,38,1,705,2,0,61,1451
breast-w,10,1,699,2,16,241,15
tr45.wc,8262,1,690,10,0,14,383
credit-approval,16,10,690,2,67,307,29
credit-approval_reproduced,16,10,690,2,67,307,44155
Australian,15,9,690,2,0,307,40981
Australian_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,15,9,690,2,0,307,44483
genbase,1213,1213,662,2,0,79,40591
disclosure_x_bias,4,1,662,2,0,317,774
disclosure_x_tampered,4,1,662,2,0,327,795
disclosure_x_noise,4,1,662,2,0,329,827
disclosure_z,4,1,662,2,0,314,931
PizzaCutter1,38,1,661,2,0,52,1443
AP_Breast_Colon,10936,1,630,2,0,286,1145
balance-scale,5,1,625,3,0,49,11
AP_Breast_Kidney,10936,1,604,2,0,260,1158
monks-problems-2,7,7,601,2,0,206,334
Dexter,20001,1,600,2,0,300,4136
synthetic_control,61,1,600,6,0,100,377
sensory,12,12,576,2,0,239,826
UMIST_Faces_Cropped,10305,1,575,20,0,19,41084
micro-mass_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,101,1,571,20,0,11,44583
wdbc,31,1,569,2,0,212,1510
arsenic-female-bladder,5,2,559,2,0,80,949
monks-problems-1,7,7,556,2,0,278,333
monks-problems-3,7,7,554,2,0,266,335
AP_Colon_Kidney,10936,1,546,2,0,260,1137
AP_Breast_Ovary,10936,1,542,2,0,198,1165
climate-model-simulation-crashes,21,1,540,2,0,46,1467
doa_bwin,14,3,530,2,0,176,45711
CPMP-2015-runtime-classification,23,1,527,4,0,78,41919
kc2,22,1,522,2,0,107,1063
threeOf9,10,10,512,2,0,238,40690
rmftsa_ladata,11,1,508,2,0,222,717
boston_corrected,21,4,506,2,0,223,825
boston,14,2,506,2,0,209,853
collins,23,3,500,2,0,80,987
pm10,8,1,500,2,0,246,750
no2,8,1,500,2,0,249,886
LED-display-domain-7digit,8,1,500,10,0,37,40496
irish,6,4,500,2,32,222,451
AP_Colon_Ovary,10936,1,484,2,0,198,1153
PopularKids,11,5,478,3,0,90,1100
clean1,169,1,476,2,0,207,40665
analcatdata_apnea2,4,3,475,2,0,64,765
analcatdata_apnea1,4,3,475,2,0,61,767
AP_Breast_Lung,10936,1,470,2,0,126,1150
thoracic-surgery,17,14,470,2,0,70,1506
AP_Breast_Uterus,10937,1,468,2,0,124,1148
analcatdata_vineyard,4,2,468,2,0,208,724
chscase_vine2,3,1,468,2,0,212,814
sa-heart,10,2,462,2,0,160,1498
AP_Ovary_Kidney,10936,1,458,2,0,198,1149
analcatdata_apnea3,4,3,450,2,0,55,764
wholesale-customers,9,2,440,2,0,142,1511
AP_Breast_Omentum,10936,1,421,2,0,77,1127
AP_Breast_Prostate,10936,1,413,2,0,69,1122
AP_Colon_Lung,10936,1,412,2,0,126,1126
AP_Colon_Uterus,10936,1,410,2,0,124,1160
AP_Endometrium_Breast,10936,1,405,2,0,61,1123
mw1,38,1,403,2,0,31,1071
user-knowledge,6,1,403,5,0,24,1508
Olivetti_Faces,4097,1,400,40,0,10,41083
chscase_census5,8,1,400,2,0,193,906
chscase_census4,8,1,400,2,0,194,907
chscase_census3,8,1,400,2,0,192,908
chscase_census2,8,1,400,2,0,197,909
chscase_census6,7,1,400,2,0,165,900
analcatdata_germangss,6,5,400,4,0,100,475
calendarDOW,33,21,399,5,0,44,40663
autoMpg,8,4,398,2,6,189,831
AP_Lung_Kidney,10936,1,386,2,0,126,1163
AP_Uterus_Kidney,10936,1,384,2,0,124,1129
variousCancers_final,54676,1,383,9,0,16,1088
vinnie,3,1,380,2,0,185,860
jEdit_4.2_4.3,9,1,369,2,0,165,1048
dermatology,35,34,366,6,8,20,35
analcatdata_draft,5,3,366,2,1,32,984
analcatdata_birthday,4,3,365,2,30,53,968
AP_Colon_Omentum,10936,1,363,2,0,77,1143
micro-mass,1301,1,360,10,0,36,1514
