level_0,level_1,score
ozone-level-8hr_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
ozone-level-8hr_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
ozone-level-8hr_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
mfeat-karhunen,lr,
mfeat-karhunen,rf,
mfeat-karhunen,svm,
mfeat-karhunen,mlp,
mfeat-karhunen,knn,
jannis_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
jannis_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
jannis_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
jannis_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
jannis_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
MiniBooNE_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
MiniBooNE_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
MiniBooNE_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
MiniBooNE_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
MiniBooNE_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
KDDCup09_upselling_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
KDDCup09_upselling_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
KDDCup09_upselling_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
KDDCup09_upselling_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
KDDCup09_upselling_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
ada_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
ada_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
ada_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
ada_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
ada_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
mfeat-zernike,lr,
mfeat-zernike,rf,
mfeat-zernike,svm,
mfeat-zernike,mlp,
mfeat-zernike,knn,
connect-4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
connect-4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
connect-4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
connect-4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
connect-4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
kr-vs-kp_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
kr-vs-kp_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
kr-vs-kp_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
kr-vs-kp_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
kr-vs-kp_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
road-safety_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
road-safety_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
road-safety_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
road-safety_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
road-safety_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
GesturePhaseSegmentationProcessed_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
GesturePhaseSegmentationProcessed_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
GesturePhaseSegmentationProcessed_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
GesturePhaseSegmentationProcessed_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
GesturePhaseSegmentationProcessed_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
PhishingWebsites_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
PhishingWebsites_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
PhishingWebsites_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
PhishingWebsites_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
PhishingWebsites_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
numerai28.6_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
numerai28.6_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
numerai28.6_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
numerai28.6_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
numerai28.6_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
kc1_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
kc1_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
kc1_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
kc1_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
kc1_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
churn_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
churn_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
churn_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
churn_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
churn_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
compass_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
compass_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
compass_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
compass_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
compass_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
house_16H_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
house_16H_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
house_16H_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
house_16H_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
house_16H_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
segment_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
segment_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
segment_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
segment_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
segment_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
adult_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
adult_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
adult_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
adult_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
adult_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
adult_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
adult_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
adult_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
adult_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
adult_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
adult_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
adult_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
adult_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
adult_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
adult_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
adult_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
adult_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
adult_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
adult_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
adult_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
adult_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
adult_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
adult_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
adult_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
adult_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
rl_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
rl_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
rl_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
rl_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
rl_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
Click_prediction_small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
Click_prediction_small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
Click_prediction_small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
Click_prediction_small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
Click_prediction_small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
Amazon_employee_access_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
Amazon_employee_access_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
Amazon_employee_access_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
Amazon_employee_access_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
Amazon_employee_access_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
sf-police-incidents_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
sf-police-incidents_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
sf-police-incidents_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
sf-police-incidents_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
sf-police-incidents_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
electricity_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
electricity_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
electricity_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
electricity_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
electricity_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
mfeat-morphological,lr,
mfeat-morphological,rf,
mfeat-morphological,svm,
mfeat-morphological,mlp,
mfeat-morphological,knn,
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
phoneme_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
phoneme_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
phoneme_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
phoneme_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
phoneme_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
wilt_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
wilt_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
wilt_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
wilt_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
wilt_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
steel-plates-fault,lr,
steel-plates-fault,rf,
steel-plates-fault,svm,
steel-plates-fault,mlp,
steel-plates-fault,knn,
steel-plates-fault_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
steel-plates-fault_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
steel-plates-fault_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
steel-plates-fault_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
steel-plates-fault_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,lr,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,rf,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,svm,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,mlp,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,knn,
pc3,lr,
pc3,rf,
pc3,svm,
pc3,mlp,
pc3,knn,
cmc,lr,
cmc,rf,
cmc,svm,
cmc,mlp,
cmc,knn,
cmc_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
cmc_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
cmc_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
cmc_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
cmc_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
pc4,lr,
pc4,rf,
pc4,svm,
pc4,mlp,
pc4,knn,
pc4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
pc4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
pc4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
pc4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
pc4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
banknote-authentication,lr,
banknote-authentication,rf,
banknote-authentication,svm,
banknote-authentication,mlp,
banknote-authentication,knn,
analcatdata_halloffame,lr,
analcatdata_halloffame,rf,
analcatdata_halloffame,svm,
analcatdata_halloffame,mlp,
analcatdata_halloffame,knn,
mofn-3-7-10,lr,
mofn-3-7-10,rf,
mofn-3-7-10,svm,
mofn-3-7-10,mlp,
mofn-3-7-10,knn,
socmob,lr,
socmob,rf,
socmob,svm,
socmob,mlp,
socmob,knn,
parity5_plus_5,lr,
parity5_plus_5,rf,
parity5_plus_5,svm,
parity5_plus_5,mlp,
parity5_plus_5,knn,
PieChart3,lr,
PieChart3,rf,
PieChart3,svm,
PieChart3,mlp,
PieChart3,knn,
qsar-biodeg,lr,
qsar-biodeg,rf,
qsar-biodeg,svm,
qsar-biodeg,mlp,
qsar-biodeg,knn,
qsar-biodeg_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
qsar-biodeg_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
qsar-biodeg_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
qsar-biodeg_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
qsar-biodeg_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
PizzaCutter3,lr,
PizzaCutter3,rf,
PizzaCutter3,svm,
PizzaCutter3,mlp,
PizzaCutter3,knn,
rmftsa_sleepdata,lr,
rmftsa_sleepdata,rf,
rmftsa_sleepdata,svm,
rmftsa_sleepdata,mlp,
rmftsa_sleepdata,knn,
credit-g,lr,
credit-g,rf,
credit-g,svm,
credit-g,mlp,
credit-g,knn,
dummy,lr,
dummy,rf,
dummy,svm,
dummy,mlp,
dummy,knn,
xd6,lr,
xd6,rf,
xd6,svm,
xd6,mlp,
xd6,knn,
tokyo1,lr,
tokyo1,rf,
tokyo1,svm,
tokyo1,mlp,
tokyo1,knn,
tic-tac-toe,lr,
tic-tac-toe,rf,
tic-tac-toe,svm,
tic-tac-toe,mlp,
tic-tac-toe,knn,
Tour-and-Travels-Customer-Churn-Prediction,lr,
Tour-and-Travels-Customer-Churn-Prediction,rf,
Tour-and-Travels-Customer-Churn-Prediction,svm,
Tour-and-Travels-Customer-Churn-Prediction,mlp,
Tour-and-Travels-Customer-Churn-Prediction,knn,
stock,lr,
stock,rf,
stock,svm,
stock,mlp,
stock,knn,
vehicle,lr,
vehicle,rf,
vehicle,svm,
vehicle,mlp,
vehicle,knn,
vehicle_reproduced,lr,
vehicle_reproduced,rf,
vehicle_reproduced,svm,
vehicle_reproduced,mlp,
vehicle_reproduced,knn,
analcatdata_authorship,lr,
analcatdata_authorship,rf,
analcatdata_authorship,svm,
analcatdata_authorship,mlp,
analcatdata_authorship,knn,
analcatdata_dmft,lr,
analcatdata_dmft,rf,
analcatdata_dmft,svm,
analcatdata_dmft,mlp,
analcatdata_dmft,knn,
diabetes,lr,
diabetes,rf,
diabetes,svm,
diabetes,mlp,
diabetes,knn,
blood-transfusion-service-center,lr,
blood-transfusion-service-center,rf,
blood-transfusion-service-center,svm,
blood-transfusion-service-center,mlp,
blood-transfusion-service-center,knn,
blood-transfusion-service-center_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
blood-transfusion-service-center_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
blood-transfusion-service-center_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
blood-transfusion-service-center_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
blood-transfusion-service-center_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
doa_bwin_balanced,lr,
doa_bwin_balanced,rf,
doa_bwin_balanced,svm,
doa_bwin_balanced,mlp,
doa_bwin_balanced,knn,
PieChart1,lr,
PieChart1,rf,
PieChart1,svm,
PieChart1,mlp,
PieChart1,knn,
breast-w,lr,
breast-w,rf,
breast-w,svm,
breast-w,mlp,
breast-w,knn,
credit-approval,lr,
credit-approval,rf,
credit-approval,svm,
credit-approval,mlp,
credit-approval,knn,
credit-approval_reproduced,lr,
credit-approval_reproduced,rf,
credit-approval_reproduced,svm,
credit-approval_reproduced,mlp,
credit-approval_reproduced,knn,
Australian,lr,
Australian,rf,
Australian,svm,
Australian,mlp,
Australian,knn,
Australian_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,lr,
Australian_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,rf,
Australian_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,svm,
Australian_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,mlp,
Australian_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,knn,
disclosure_x_bias,lr,
disclosure_x_bias,rf,
disclosure_x_bias,svm,
disclosure_x_bias,mlp,
disclosure_x_bias,knn,
disclosure_x_tampered,lr,
disclosure_x_tampered,rf,
disclosure_x_tampered,svm,
disclosure_x_tampered,mlp,
disclosure_x_tampered,knn,
disclosure_x_noise,lr,
disclosure_x_noise,rf,
disclosure_x_noise,svm,
disclosure_x_noise,mlp,
disclosure_x_noise,knn,
disclosure_z,lr,
disclosure_z,rf,
disclosure_z,svm,
disclosure_z,mlp,
disclosure_z,knn,
PizzaCutter1,lr,
PizzaCutter1,rf,
PizzaCutter1,svm,
PizzaCutter1,mlp,
PizzaCutter1,knn,
balance-scale,lr,
balance-scale,rf,
balance-scale,svm,
balance-scale,mlp,
balance-scale,knn,
monks-problems-2,lr,
monks-problems-2,rf,
monks-problems-2,svm,
monks-problems-2,mlp,
monks-problems-2,knn,
synthetic_control,lr,
synthetic_control,rf,
synthetic_control,svm,
synthetic_control,mlp,
synthetic_control,knn,
sensory,lr,
sensory,rf,
sensory,svm,
sensory,mlp,
sensory,knn,
wdbc,lr,
wdbc,rf,
wdbc,svm,
wdbc,mlp,
wdbc,knn,
arsenic-female-bladder,lr,
arsenic-female-bladder,rf,
arsenic-female-bladder,svm,
arsenic-female-bladder,mlp,
arsenic-female-bladder,knn,
monks-problems-1,lr,
monks-problems-1,rf,
monks-problems-1,svm,
monks-problems-1,mlp,
monks-problems-1,knn,
monks-problems-3,lr,
monks-problems-3,rf,
monks-problems-3,svm,
monks-problems-3,mlp,
monks-problems-3,knn,
climate-model-simulation-crashes,lr,
climate-model-simulation-crashes,rf,
climate-model-simulation-crashes,svm,
climate-model-simulation-crashes,mlp,
climate-model-simulation-crashes,knn,
doa_bwin,lr,
doa_bwin,rf,
doa_bwin,svm,
doa_bwin,mlp,
doa_bwin,knn,
CPMP-2015-runtime-classification,lr,
CPMP-2015-runtime-classification,rf,
CPMP-2015-runtime-classification,svm,
CPMP-2015-runtime-classification,mlp,
CPMP-2015-runtime-classification,knn,
kc2,lr,
kc2,rf,
kc2,svm,
kc2,mlp,
kc2,knn,
threeOf9,lr,
threeOf9,rf,
threeOf9,svm,
threeOf9,mlp,
threeOf9,knn,
rmftsa_ladata,lr,
rmftsa_ladata,rf,
rmftsa_ladata,svm,
rmftsa_ladata,mlp,
rmftsa_ladata,knn,
boston_corrected,lr,
boston_corrected,rf,
boston_corrected,svm,
boston_corrected,mlp,
boston_corrected,knn,
boston,lr,
boston,rf,
boston,svm,
boston,mlp,
boston,knn,
collins,lr,
collins,rf,
collins,svm,
collins,mlp,
collins,knn,
pm10,lr,
pm10,rf,
pm10,svm,
pm10,mlp,
pm10,knn,
no2,lr,
no2,rf,
no2,svm,
no2,mlp,
no2,knn,
